% Atributi koji su zaista bitni (odredjeni uz pomoc weka filtera)

@relation mushrooms_AttributeSelectionFilter

@attribute odor {Almond,Anise,Creosote,Fishy,Foul,Musty,None,Pungent,Spicy}
@attribute gill-spacing {Close,Crowded}
@attribute stalk-surface-above-ring {Fibrous,Scaly,Silky,Smooth}
@attribute veil-color {Brown,Orange,White,Yellow}
@attribute class {Edible,Poisonous}

@data
Pungent,Close,Smooth,White,Poisonous
Almond,Close,Smooth,White,Edible
Anise,Close,Smooth,White,Edible
Pungent,Close,Smooth,White,Poisonous
None,Crowded,Smooth,White,Edible
Almond,Close,Smooth,White,Edible
Almond,Close,Smooth,White,Edible
Anise,Close,Smooth,White,Edible
Pungent,Close,Smooth,White,Poisonous
Almond,Close,Smooth,White,Edible
Anise,Close,Smooth,White,Edible
Almond,Close,Smooth,White,Edible
Almond,Close,Smooth,White,Edible
Pungent,Close,Smooth,White,Poisonous
None,Crowded,Smooth,White,Edible
None,Close,Smooth,White,Edible
None,Crowded,Smooth,White,Edible
Pungent,Close,Smooth,White,Poisonous
Pungent,Close,Smooth,White,Poisonous
Pungent,Close,Smooth,White,Poisonous
Almond,Close,Smooth,White,Edible
Pungent,Close,Smooth,White,Poisonous
Anise,Close,Smooth,White,Edible
Almond,Close,Smooth,White,Edible
Anise,Close,Smooth,White,Edible
Pungent,Close,Smooth,White,Poisonous
Almond,Close,Smooth,White,Edible
Anise,Close,Smooth,White,Edible
None,Close,Smooth,White,Edible
Almond,Crowded,Smooth,White,Edible
Anise,Close,Smooth,White,Edible
Pungent,Close,Smooth,White,Poisonous
Anise,Close,Smooth,White,Edible
Anise,Close,Smooth,White,Edible
Anise,Close,Smooth,White,Edible
Anise,Crowded,Smooth,White,Edible
None,Close,Smooth,White,Edible
Pungent,Close,Smooth,White,Poisonous
Almond,Crowded,Smooth,White,Edible
Anise,Close,Smooth,White,Edible
Almond,Close,Smooth,White,Edible
Anise,Close,Smooth,White,Edible
None,Close,Smooth,White,Edible
Pungent,Close,Smooth,White,Poisonous
Almond,Close,Smooth,White,Edible
Almond,Close,Smooth,White,Edible
Anise,Close,Smooth,White,Edible
Anise,Close,Smooth,White,Edible
Anise,Close,Smooth,White,Edible
Anise,Close,Smooth,White,Edible
Almond,Close,Smooth,White,Edible
Anise,Close,Smooth,White,Edible
Anise,Close,Smooth,White,Edible
Pungent,Close,Smooth,White,Poisonous
Pungent,Close,Smooth,White,Poisonous
Almond,Close,Smooth,White,Edible
None,Crowded,Smooth,White,Edible
Almond,Close,Smooth,White,Edible
Anise,Close,Smooth,White,Edible
Almond,Close,Smooth,White,Edible
None,Close,Smooth,White,Edible
Almond,Close,Smooth,White,Edible
Anise,Close,Smooth,White,Edible
Anise,Close,Smooth,White,Edible
Anise,Close,Smooth,White,Edible
None,Crowded,Smooth,White,Edible
Anise,Close,Smooth,White,Edible
Almond,Close,Smooth,White,Edible
Almond,Close,Smooth,White,Edible
None,Close,Smooth,White,Edible
Anise,Crowded,Smooth,White,Edible
Anise,Close,Smooth,White,Edible
Anise,Crowded,Smooth,White,Edible
Almond,Close,Smooth,White,Edible
Almond,Close,Smooth,White,Edible
Anise,Crowded,Smooth,White,Edible
Anise,Crowded,Smooth,White,Edible
Anise,Close,Smooth,White,Edible
Pungent,Close,Smooth,White,Poisonous
Almond,Close,Smooth,White,Edible
None,Crowded,Fibrous,White,Edible
Pungent,Close,Smooth,White,Poisonous
None,Close,Smooth,White,Edible
None,Crowded,Smooth,White,Edible
Anise,Close,Smooth,White,Edible
None,Crowded,Smooth,White,Edible
Almond,Close,Smooth,White,Edible
Anise,Close,Smooth,White,Edible
Anise,Close,Smooth,White,Edible
None,Close,Smooth,White,Edible
None,Close,Smooth,White,Edible
Anise,Close,Smooth,White,Edible
Almond,Close,Smooth,White,Edible
Anise,Close,Smooth,White,Edible
None,Crowded,Smooth,White,Edible
Almond,Close,Smooth,White,Edible
Anise,Close,Smooth,White,Edible
Almond,Close,Smooth,White,Edible
Almond,Close,Smooth,White,Edible
Almond,Close,Smooth,White,Edible
None,Crowded,Fibrous,White,Edible
Anise,Close,Smooth,White,Edible
Anise,Close,Smooth,White,Edible
Almond,Close,Smooth,White,Edible
Anise,Close,Smooth,White,Edible
Almond,Close,Smooth,White,Edible
Almond,Close,Smooth,White,Edible
Anise,Close,Smooth,White,Edible
Almond,Close,Smooth,White,Edible
Almond,Close,Smooth,White,Edible
Anise,Close,Smooth,White,Edible
None,Close,Smooth,White,Edible
Almond,Crowded,Smooth,White,Edible
Almond,Close,Smooth,White,Edible
Pungent,Close,Smooth,White,Poisonous
Anise,Close,Smooth,White,Edible
None,Close,Smooth,White,Edible
Anise,Close,Smooth,White,Edible
Anise,Crowded,Smooth,White,Edible
None,Close,Smooth,White,Edible
Pungent,Close,Smooth,White,Poisonous
Almond,Close,Smooth,White,Edible
Pungent,Close,Smooth,White,Poisonous
None,Crowded,Smooth,White,Edible
Anise,Close,Smooth,White,Edible
None,Crowded,Smooth,White,Edible
Almond,Close,Smooth,White,Edible
None,Crowded,Smooth,White,Edible
Anise,Close,Smooth,White,Edible
Anise,Close,Smooth,White,Edible
Anise,Close,Smooth,White,Edible
Anise,Close,Smooth,White,Edible
Anise,Crowded,Smooth,White,Edible
Anise,Close,Smooth,White,Edible
Almond,Crowded,Smooth,White,Edible
Pungent,Close,Smooth,White,Poisonous
Anise,Crowded,Smooth,White,Edible
Almond,Close,Smooth,White,Edible
Pungent,Close,Smooth,White,Poisonous
Anise,Close,Smooth,White,Edible
Almond,Close,Smooth,White,Edible
Anise,Close,Smooth,White,Edible
None,Close,Smooth,White,Edible
Almond,Close,Smooth,White,Edible
Almond,Close,Smooth,White,Edible
None,Crowded,Fibrous,White,Edible
None,Crowded,Smooth,White,Edible
Anise,Close,Smooth,White,Edible
Anise,Close,Smooth,White,Edible
Almond,Close,Smooth,White,Edible
Almond,Close,Smooth,White,Edible
None,Crowded,Fibrous,White,Edible
Anise,Close,Smooth,White,Edible
None,Close,Smooth,White,Edible
Almond,Crowded,Smooth,White,Edible
Anise,Close,Smooth,White,Edible
Almond,Close,Smooth,White,Edible
Almond,Close,Smooth,White,Edible
Almond,Close,Smooth,White,Edible
Almond,Close,Smooth,White,Edible
Anise,Close,Smooth,White,Edible
Almond,Close,Smooth,White,Edible
None,Close,Smooth,White,Edible
Anise,Close,Smooth,White,Edible
Almond,Close,Smooth,White,Edible
Anise,Close,Smooth,White,Edible
Almond,Close,Smooth,White,Edible
Almond,Close,Smooth,White,Edible
Anise,Close,Smooth,White,Edible
Almond,Close,Smooth,White,Edible
None,Close,Smooth,White,Edible
Anise,Close,Smooth,White,Edible
Anise,Crowded,Smooth,White,Edible
Almond,Close,Smooth,White,Edible
Anise,Close,Smooth,White,Edible
Anise,Close,Smooth,White,Edible
Almond,Close,Smooth,White,Edible
Almond,Close,Smooth,White,Edible
Anise,Close,Smooth,White,Edible
Anise,Close,Smooth,White,Edible
Pungent,Close,Smooth,White,Poisonous
None,Close,Smooth,White,Edible
None,Close,Smooth,White,Edible
Almond,Close,Smooth,White,Edible
Almond,Close,Smooth,White,Edible
Pungent,Close,Smooth,White,Poisonous
Anise,Close,Smooth,White,Edible
None,Close,Smooth,White,Edible
Anise,Close,Smooth,White,Edible
Almond,Close,Smooth,White,Edible
None,Crowded,Smooth,White,Edible
Anise,Crowded,Smooth,White,Edible
Anise,Close,Smooth,White,Edible
Almond,Crowded,Smooth,White,Edible
Almond,Close,Smooth,White,Edible
None,Close,Smooth,White,Edible
Almond,Close,Smooth,White,Edible
Anise,Close,Smooth,White,Edible
Anise,Close,Smooth,White,Edible
