id,Area,MajorAxisLength,MinorAxisLength,Eccentricity,ConvexArea,EquivDiameter,Extent,Perimeter,Roundness,AspectRation,Class
49,2522,77.09079,42.871879,0.831101,2579,56.666658,0.598765,197.015,0.8165,1.798167,Jasmine
25,2647,76.789043,45.529112,0.805268,2710,58.053984,0.598192,200.587,0.82672,1.686592,Jasmine
11,2665,74.364021,48.053188,0.763178,2777,58.251038,0.596731,202.456,0.817045,1.547536,Jasmine
9,2629,74.133114,48.074144,0.761228,2790,57.85626,0.640595,207.325,0.768594,1.542058,Jasmine
238,2656,86.567816,39.906517,0.887408,2721,58.152594,0.695652,207.697,0.773709,2.169265,Jasmine
2,2872,74.691881,51.400454,0.725553,3015,60.471018,0.713009,208.317,0.831658,1.453137,Jasmine
13,2805,77.047682,49.242678,0.769107,2950,59.7615,0.603226,209.823,0.800639,1.564653,Jasmine
3,3048,76.293164,52.043491,0.731211,3132,62.296341,0.759153,210.012,0.868434,1.46595,Jasmine
4,3073,77.033628,51.928487,0.738639,3157,62.5513,0.783529,210.657,0.870203,1.483456,Jasmine
19,3028,81.277552,49.167362,0.796277,3114,62.091621,0.753609,211.667,0.849297,1.653079,Jasmine
41,2953,82.877814,46.992019,0.823715,3043,61.317831,0.692218,214.338,0.807746,1.763657,Jasmine
36,2965,82.570141,47.155939,0.820879,3068,61.442292,0.607582,214.44,0.810257,1.751002,Jasmine
6,2990,77.417073,50.954344,0.752861,3080,61.70078,0.584898,216.93,0.798439,1.519342,Jasmine
12,3231,81.3042,52.451136,0.76408,3330,64.1392,0.61496,218.773,0.848319,1.550094,Jasmine
30,3177,84.540785,49.526597,0.810433,3247,63.600959,0.81713,219.663,0.827396,1.706977,Jasmine
17,3475,84.581148,53.191205,0.777504,3539,66.516971,0.652215,221.295,0.891706,1.590134,Jasmine
22,3163,83.82327,50.024655,0.8024,3232,63.46067,0.584442,221.38,0.811021,1.675639,Jasmine
53,3293,88.115939,48.844421,0.832304,3358,64.751663,0.576506,222.373,0.83683,1.804012,Jasmine
136,3141,90.76577,45.374247,0.86608,3194,63.239587,0.543896,223.117,0.792889,2.000381,Jasmine
16,3393,84.05848,52.951486,0.776647,3477,65.727481,0.688515,224.485,0.846095,1.587462,Jasmine
131,2985,89.542807,44.875199,0.865355,3078,61.649169,0.80763,225.237,0.739392,1.995374,Jasmine
200,3206,93.529747,44.555234,0.879242,3283,63.890578,0.592387,226.049,0.788439,2.099187,Jasmine
51,3210,87.986656,48.809752,0.832023,3351,63.930423,0.613884,226.454,0.786602,1.802645,Jasmine
